date;price
3/31/2006;0.015932188150
4/30/2006;0.008537562702
5/31/2006;-0.080233917690
6/30/2006;-0.005574577238
7/31/2006;0.000486424782
8/31/2006;0.019793286894
9/30/2006;0.022008505062
10/31/2006;0.040366808250
11/30/2006;0.011920415230
12/31/2006;0.038741938744
1/31/2007;0.022873503726
2/28/2007;-0.010459555462
3/31/2007;0.022389327000
4/30/2007;0.021637654426
5/31/2007;0.055295376726
6/30/2007;0.003830452938
7/31/2007;-0.007488970022
8/31/2007;-0.017905652760
9/30/2007;0.008483069942
10/31/2007;0.041177621068
11/30/2007;-0.075808556486
12/31/2007;-0.004858200098
1/31/2008;-0.100164784540
2/29/2008;0.003011392064
3/31/2008;-0.057169360564
4/30/2008;0.065075488200
5/31/2008;0.024172531878
6/30/2008;-0.109013439558
7/31/2008;-0.005942383352
8/31/2008;0.033549185174
9/30/2008;-0.103358226828
10/31/2008;-0.157871972718
11/30/2008;-0.069300165668
12/31/2008;-0.028642335396
1/31/2009;-0.006847950702
2/28/2009;-0.087620167094
3/31/2009;0.066535311432
4/30/2009;0.200177251086
5/31/2009;0.074358144542
6/30/2009;-0.000074829888
7/31/2009;0.099744545586
8/31/2009;0.038853848940
9/30/2009;0.051646583728
10/31/2009;-0.029842393002
11/30/2009;0.010413330594
12/31/2009;0.091266452752
1/31/2010;-0.002007668394
2/28/2010;0.031483898716
3/31/2010;0.091103604372
4/30/2010;0.039512992000
5/31/2010;-0.024623867378
6/30/2010;-0.023689076926
7/31/2010;0.015815540802
8/31/2010;-0.012317970880
9/30/2010;0.035146266206
10/31/2010;0.012079269672
11/30/2010;0.054417803616
12/31/2010;0.058246670742
1/31/2011;-0.019474010858
2/28/2011;0.010667919226
3/31/2011;0.001042491704
4/30/2011;-0.012268842202
5/31/2011;-0.002093150124
6/30/2011;-0.026895877150
7/31/2011;-0.009604296628
8/31/2011;-0.090738326992
9/30/2011;-0.061632163682
10/31/2011;0.082759611880
11/30/2011;-0.013428624098
12/31/2011;0.032784692434
1/31/2012;0.085697299264
2/29/2012;0.033526891926
3/31/2012;-0.012796851242
4/30/2012;-0.014378053902
5/31/2012;-0.039294773590
6/30/2012;0.018053282168
7/31/2012;0.031296788052
8/31/2012;0.000299404380
9/30/2012;0.025969720086
10/31/2012;-0.013180565306
11/30/2012;0.008597322770
12/31/2012;0.031960469460
1/31/2013;0.017843083818
2/28/2013;0.035293240214
3/31/2013;0.032602086846
4/30/2013;-0.012727303780
5/31/2013;0.011441828888
6/30/2013;-0.045419098372
7/31/2013;0.025250030060
8/31/2013;-0.011595998418
9/30/2013;0.042777217784
10/31/2013;0.037009757262
11/30/2013;0.003053063938
12/31/2013;-0.000352247698
1/31/2014;-0.023718444492
2/28/2014;0.017119436768
3/31/2014;0.023591226810
4/30/2014;-0.003793775794
5/31/2014;0.040981065252
6/30/2014;0.025112354032
7/31/2014;0.010347063034
8/31/2014;0.040412440440
9/30/2014;-0.024238058896
10/31/2014;0.010417787514
11/30/2014;0.002562033928
12/31/2014;0.010663728730
1/31/2015;0.052255276198
2/28/2015;0.060928307578
3/31/2015;0.026612313300
4/30/2015;0.006034040552
5/31/2015;0.007065531276
6/30/2015;-0.033726102204
7/31/2015;-0.025464069450
8/31/2015;-0.083595861104
9/30/2015;-0.036821226218
10/31/2015;0.085224879298
11/30/2015;0.025396750662
12/31/2015;-0.055148816204
1/31/2016;-0.068477912870
2/29/2016;0.003757157634
3/31/2016;0.059978007524
4/30/2016;0.027889898298
5/31/2016;-0.000009763210
6/30/2016;0.005483226874
7/31/2016;0.051008399798
8/31/2016;0.020544607970
9/30/2016;0.003470690346
10/31/2016;0.019791355428
11/30/2016;0.057414407002
12/31/2016;0.031387648182
1/31/2017;0.007111768588
2/28/2017;0.047833319038
3/31/2017;0.005583824218
4/30/2017;-0.011442376866
5/31/2017;-0.020210249016
6/30/2017;-0.004053858608
7/31/2017;-0.001298833194
8/31/2017;-0.002182568712
9/30/2017;0.025867871494
10/31/2017;0.034436734788
11/30/2017;-0.006558775666
12/31/2017;0.021766587932
1/31/2018;0.021554152432
2/28/2018;-0.025586783138
3/31/2018;-0.024685980022
4/30/2018;0.030723073342
5/31/2018;0.018745684770
6/30/2018;-0.022777623624
7/31/2018;0.028751719866
8/31/2018;0.002373209572
9/30/2018;-0.003399676184
10/31/2018;-0.058790101130
11/30/2018;0.017362308712
12/31/2018;-0.072824301378
1/31/2019;0.085938928134
2/28/2019;0.023931840224
3/31/2019;0.003747198316
4/30/2019;0.030809260704
5/31/2019;-0.062780587566
6/30/2019;0.041079486582
7/31/2019;0.011536082674
8/31/2019;-0.043786093156
9/30/2019;0.045746437958
10/31/2019;0.006821518052
11/30/2019;0.029251143250
12/31/2019;0.031938399404
1/31/2020;-0.045693312026
2/29/2020;-0.083778554424
3/31/2020;-0.215250459724
4/30/2020;0.127581080072
5/31/2020;0.010628197212
6/30/2020;0.025985371224
7/31/2020;-0.010398077924
8/31/2020;0.033865101502
9/30/2020;-0.015010280746
10/31/2020;0.008402939982
11/30/2020;0.135159230526
12/31/2020;0.042793142772
1/31/2021;0.011855528316
2/28/2021;0.079019819354
3/31/2021;0.066799817842
4/30/2021;0.011295400432
5/31/2021;0.017788502358
6/30/2021;0.019585459026
